make,model,year,mileage,fuelType,engineCapacity,price
Volkswagen,Passat,2015,199 975 km,Diesel,1 986 cm3,13 499
Audi,A6,2005,213 000 km,Diesel,2 000 cm3,5 499
BMW,Seria 5,2006,321 000 km,Diesel,2 000 cm3,4 599
Renault,Talisman,2019,7 200 km,Benzina,1 798 cm3,26 049
Audi,A6,2015,158 000 km,Diesel,1 968 cm3,21 300
Ford,Mondeo,2018,43 836 km,Hibrid,1 999 cm3,18 489
Opel,Insignia,2017,83 025 km,Benzina + GPL,1 364 cm3,8 000
Audi,A8,2014,91 100 km,Diesel,2 998 cm3,37 842
Volkswagen,Touran,2009,137 000 km,Benzina,1 400 cm3,5 299
Ford,KA,2010,116 000 km,Benzina,1 200 cm3,2 999
BMW,X1,2015,179 850 km,Diesel,1 995 cm3,14 490
Volkswagen,Passat,2009,296 000 km,Diesel,1 968 cm3,4 399
Ford,Kuga,2019,11 800 km,Benzina,1 499 cm3,16 490
Opel,Zafira,2012,190 000 km,Diesel,1 956 cm3,7 290
Volkswagen,Passat,2017,221 500 km,Diesel,1 995 cm3,14 900
Audi,A6,2009,199 000 km,Diesel,2 000 cm3,7 699
Seat,Leon,2006,250 000 km,Diesel,2 000 cm3,3 299
Ford,Fiesta,2017,95 928 km,Diesel,1 498 cm3,6 999
Ford,Mondeo,2018,42 762 km,Hibrid,1 999 cm3,18 988
Volkswagen,Passat,2013,175 022 km,Diesel,1 968 cm3,8 490
Audi,A4,2016,148 325 km,Diesel,1 968 cm3,20 400
Volkswagen,Passat,2018,141 200 km,Diesel,1 968 cm3,14 500
Audi,A6,2017,72 000 km,Diesel,1 968 cm3,25 999
Opel,Insignia,2015,68 966 km,Diesel,1 956 cm3,9 690
Audi,A6,2015,76 500 km,Diesel,2 967 cm3,23 901
Mercedes-Benz,E,2015,118 000 km,Diesel,2 143 cm3,20 949
Ford,Kuga,2016,179 673 km,Diesel,1 997 cm3,12 999
Land,Rover,2020,1 km,Benzina,2 996 cm3,92 587
Peugeot,508,2013,159 000 km,Diesel,1 997 cm3,6 990
Renault,Kadjar,2016,44 800 km,Diesel,1 598 cm3,14 999
Volvo,XC,2016,105 000 km,Diesel,1 969 cm3,32 690
Audi,A4,2011,260 000 km,Diesel,1 968 cm3,9 390
Dacia,Logan,2012,158 000 km,Diesel,1 461 cm3,4 590
Opel,Mokka,2013,199 995 km,Diesel,1 686 cm3,8 499
Audi,A4,2011,232 000 km,Diesel,1 968 cm3,9 190
Dacia,Logan,2018,23 445 km,Benzina,898 cm3,6 990
Renault,Grand,2013,234 000 km,Diesel,1 598 cm3,5 990
Skoda,Yeti,2013,252 000 km,Diesel,1 968 cm3,7 799
